time,pcb,xiapmi
3521,-3.070793,13.36544514
3526,5.438167,6.952680111
3530,11.172255,-3.932485104
3535,18.643064,-12.74760342
3540,14.762124,-16.7220211
3545,7.946224,-15.39160919
3550,-1.717316,-9.644050598
3555,-11.002464,-0.5178295374
3559,-14.961022,7.218178272
3564,-15.111409,13.9874649
3569,-11.570051,17.77769661
3574,-3.046538,13.24322891
3579,5.598255,6.947712421
3584,12.016359,-4.080806255
3588,18.740087,-12.77871323
3593,14.141174,-16.71489906
3598,8.479853,-15.38210678
3603,-1.018747,-9.615196228
3608,-10.949101,-0.3932567537
3613,-16.309649,7.261375904
3617,-15.150218,14.06656647
3622,-11.715587,17.67495155
3627,-3.211478,13.29129791
3632,5.219864,6.847420216
3637,11.64767,-4.116492748
3642,19.142735,-12.88399601
3646,14.728166,-16.66225433
3651,8.979524,-15.33425236
3656,-0.8247,-9.593865395
3661,-10.77931,-0.3982473314
3666,-15.882745,7.318610668
3671,-16.489142,14.09508419
3675,-10.667733,17.73456573
3680,-3.327906,13.16426277
3685,5.384804,6.830423832
3690,11.502135,-4.181334972
3695,19.181544,-12.86967468
3700,13.91802,-16.70776176
3704,9.163869,-15.37257385
3709,-0.41235,-9.498184204
3714,-10.468835,-0.3310543001
3719,-15.873043,7.36185503
3724,-16.367863,14.10236835
3729,-13.209748,17.75620842
3734,-2.27035,13.14764118
3738,4.215671,6.782727718
3743,12.18615,-4.28886652
3748,18.764343,-12.91260052
3753,14.524417,-16.76024437
3758,7.034203,-15.29362869
3763,-1.867702,-9.483844757
3767,-9.799373,-0.2260166109
3772,-16.435779,7.395123005
3777,-15.921555,14.18595505
3782,-12.496626,17.63879204
3787,-2.158773,13.2001152
3792,5.443018,6.717953205
3796,10.973357,-4.336881161
3801,18.516933,-13.0012579
3806,14.218793,-16.7387867
3811,7.907415,-15.21688557
3816,-1.110919,-9.435818672
3821,-11.715587,-0.2186704576
3825,-15.98462,7.481433392
3830,-15.664443,14.20526123
3835,-12.540286,17.69393158
3840,-2.449843,13.09247494
3845,5.37025,6.62223959
3850,12.215257,-4.403883457
3854,18.54604,-12.98454189
3859,14.548672,-16.77955437
3864,8.067503,-15.23357487
3869,-1.392287,-9.306557655
3874,-10.633775,-0.1901164949
3879,-16.202923,7.478889942
3883,-15.907001,14.2170639
3888,-12.423858,17.76801491
3893,-3.119305,12.99912262
3898,5.559446,6.617470264
3903,11.938741,-4.485236645
3908,19.133032,-13.03957367
3912,14.839743,-16.72452354
3917,8.09661,-15.24337006
3922,-0.878063,-9.294807434
3927,-11.342046,-0.05611380935
3932,-15.121111,7.53399992
3937,-16.028281,14.30807781
3941,-11.754396,17.60539627
3946,-3.211478,13.07100201
3951,5.918433,6.517047405
3956,11.793205,-4.537792683
3961,19.433805,-13.12324238
3966,14.407988,-16.74117661
3971,7.334976,-15.20260334
3975,-0.368689,-9.225323677
3980,-10.517346,-0.04390868545
3985,-15.480098,7.622680187
3990,-16.455184,14.34644413
3995,-12.860464,17.60301399
